Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,Ciudad_renta,RNMDP_2020,PobT,PobH,PobM,Vehiculos,Ciudad_viviendas,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col
Ourense,1072.807433,1.343457,0.06342,1.306178,0.023652,6.570052,25.322967,5.014611,0.745707,1.208704,0.622217,0.973436,0.603775,0.711105,0.468124,16916,0.998782,821.333532,13061.77565,1.096012,1.280935,1.224703,0.326494,0.291726,1.087607,1.077016,0.56419,0.543765,6.478429, Ourense,13037,105643,47891,57752,73491,Ourense,67.104,43.805,8.707,14.561,32
Oviedo,981.507459,3.520464,0.11599,2.993032,0.032942,8.17277,37.143082,5.842881,0.815073,0.764665,0.737757,1.338482,0.705927,0.84315,0.643674,8462,0.996951,327.930774,29930.32486,1.057826,1.254438,1.205068,0.265896,0.243552,1.35325,1.065915,0.538619,0.514612,9.230418, Oviedo,14657,219910,101749,118161,133254,Oviedo,123.73,97.821,7.283,18.582,45
Palencia,624.655113,3.783919,0.103471,3.707235,0.021156,7.332732,55.588778,4.845938,1.280707,0.737545,0.750623,1.388791,0.731803,0.857855,0.667867,6037,0.994065,168.496219,37072.35186,1.043739,1.245576,1.201339,0.295989,0.296904,0.661278,1.068949,0.549911,0.518849,9.575122, Palencia,13662,78144,36875,41269,51281,Palencia,44.61,32.691,4.745,7.137,37
Palma de Mallorca,2946.774052,3.279668,0.083951,4.930098,0.028243,7.128906,37.14125,5.237095,0.271483,0.683856,0.773189,1.483637,0.791149,0.883644,0.713479,35101,0.998327,597.711104,49300.97558,1.027479,1.254301,1.214899,0.269904,0.262725,1.078541,1.06891,0.532558,0.529751,15.600723,Palmas de mallorca,12998,422587,206654,215933,360254,Palma de Mallorca,182.244,159.316,6.521,16.349,58
Parla,633.212934,19.994841,0.096822,27.703034,0.019997,6.856993,109.147215,5.466245,1.263398,0.675798,0.776232,1.497147,0.791741,0.887123,0.719976,6540,0.95625,22.857169,277030.3385,1.043017,1.300935,1.28017,0.329106,0.336968,1.096462,1.092514,0.426996,0.608534,7.905136, Parla,9803,133482,66524,66958,66997,Parla,47.097,43.712,576,2.805,4
Pontevedra,604.755716,6.60961,0.085454,3.423965,0.035801,7.74214,38.137105,6.265001,1.322848,0.770596,0.735808,1.331078,0.710126,0.840923,0.640113,7077,0.994338,176.62441,34239.64548,1.090859,1.296588,1.230306,0.284937,0.243004,1.086863,1.07469,0.521571,0.548893,10.560709, Pontevedra,13047,83260,39344,43916,59044,Pontevedra,39.568,30.946,1.726,6.886,10
Sabadell,1090.068472,2.090116,0.043296,1.570535,0.013927,5.171963,27.855174,4.082364,0.733899,0.673577,0.773694,1.485865,0.764465,0.884221,0.71455,25177,0.998559,694.074811,15705.34551,1.083084,1.415343,1.360043,0.415406,0.435982,1.133652,1.122543,-123991.3169,0.687683,17.994628, Sabadell,13520,216520,105388,111132,139550,Sabadell,93.237,81.596,1.423,10.184,34
Salamanca,885.137174,3.267961,0.094073,4.048108,0.020095,6.581246,46.490574,4.532603,0.903815,0.714124,0.756183,1.411336,0.745841,0.864209,0.678709,9409,0.995427,218.654554,40481.07659,1.051635,1.257037,1.21058,0.312493,0.306654,1.082017,1.07135,0.549894,0.51992,11.288692, Salamanca,13185,144825,65661,79164,79554,Salamanca,92.491,64.588,14.907,12.954,42
San Cristóbal de La Laguna,1438.04495,0.814449,0.052825,1.018972,0.017127,6.116619,24.412439,4.596158,0.556311,0.932454,0.69106,1.174608,0.681847,0.789783,0.564867,27223,0.999291,1411.271008,10189.7151,1.082293,1.253427,1.205466,0.331662,0.335698,1.082882,1.072537,0.531807,0.518625,12.33727, San Cristóbal de La Laguna,11481,158911,76703,82208,129699,San Cristóbal de La Laguna,71.233,57.555,4.045,9.621,13
Santa Coloma de Gramenet,275.938786,9.182635,0.041476,2.952744,0.020184,5.446041,29.299202,4.79812,2.899194,0.850595,0.708782,1.233682,0.689198,0.810036,0.593276,6653,0.989299,93.451637,29527.44262,1.04622,1.254024,1.20779,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,16.338627, Santa Coloma de Gramenet,10799,120443,59527,60916,57124,Santa Coloma de Gramenet,48.527,45.646,498,2.371,12
Santa Cruz de Tenerife,1017.423254,1.543634,0.048066,1.004617,0.013195,5.551545,24.463683,4.069826,0.7863,0.727781,0.750957,1.390129,0.728807,0.858236,0.668511,21167,0.999013,1012.747587,10046.16814,1.049767,1.235287,1.199565,0.374101,0.374048,1.082768,1.072958,0.532703,0.516691,9.025349, Santa Cruz de Tenerife,12547,209194,99840,109354,176209,Santa Cruz de Tenerife,96.313,78.572,5.125,12.593,23
Santander,1216.584547,3.359808,0.123049,3.951181,0.032875,8.443763,45.332585,5.853981,0.657579,0.672155,0.777239,1.501657,0.778447,0.888274,0.722145,9887,0.996752,307.904062,39511.80574,1.069452,1.275037,1.213704,0.273275,0.244573,1.080693,1.068258,0.556365,0.5255,13.140323, Santander,14202,173375,79936,93439,117011,Santander,92.442,73.395,8.286,10.742,18
Segovia,550.996736,3.749205,0.102359,2.840016,0.024102,7.334539,41.711668,4.959739,1.451914,0.616999,0.802926,1.624175,0.815801,0.91763,0.781063,5383,0.994846,194.011864,28400.15682,1.064557,1.273825,1.215704,0.302834,0.295236,1.083889,1.070855,0.54725,0.518428,11.974658, Segovia,13441,52057,24328,27729,36270,Segovia,28.894,21.254,2.649,4.972,19
Sevilla,550.996736,3.749205,0.102359,2.840016,0.024102,7.334539,41.711668,4.959739,0.214436,0.615403,0.803449,1.626831,0.829605,0.918227,0.782341,57878,0.997208,358.230217,104142.886,1.035909,1.267778,1.219951,0.450273,0.389583,1.096375,1.081786,0.340574,0.513197,13.41208, Sevilla,12490,691395,328013,363382,485440,Sevilla,337.303,268.435,20.612,48.178,77
Soria,379.935971,4.003721,0.110511,2.281415,0.033063,8.137307,34.455219,5.682173,2.105618,0.749789,0.745836,1.369775,0.737823,0.852384,0.658723,3438,0.993995,166.535215,22814.152,1.04622,1.254024,1.20779,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,9.009657, Soria,14573,39821,18788,21033,29588,Soria,23.597,15.965,3.645,3.977,10
Tarragona,1313.091165,5.279116,0.138017,2.281415,0.040985,8.785371,55.511952,6.577365,0.609249,0.629911,0.797619,1.597604,0.823623,0.911565,0.768285,9514,0.994988,199.540585,65805.71883,1.057172,1.259214,1.206575,0.263796,0.216383,1.076287,1.065068,0.54812,0.528677,14.707599, Tarragona,13860,136496,66666,69830,94004,Tarragona,65.723,52.391,5.548,7.772,12
Terrassa,1253.75102,1.919933,0.049161,1.306412,0.01567,5.899534,23.790631,4.719074,0.638085,0.713778,0.757116,1.41517,0.749488,0.865275,0.680553,25503,0.998958,959.690368,13064.12008,1.035035,1.404373,1.348658,0.384417,0.417365,1.12768,1.119531,0.653962,0.675532,17.736428, Terrassa,13243,223627,109948,113679,149620,Terrassa,101.739,83.249,2.544,15.908,38
Teruel,519.992981,4.61585,0.087497,2.474775,0.020931,6.973207,34.569297,4.802547,1.538482,0.79297,0.728547,1.303966,0.708345,0.832625,0.627075,5943,0.995241,210.117254,24747.75254,1.040073,1.276532,1.227719,0.326296,0.311237,1.088724,1.077512,0.561993,0.539894,9.270194, Teruel,14090,36240,17287,18953,28945,Teruel,19.022,13.218,2.755,3.026,22
