Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Huelva,0.003075008,2.83E-05,3.09E-07,3.48E-05,7.89E-08,2.52E-05,0.000260091,1.88E-05,4.70E-06,2.86E-06,3.30E-06,6.38E-06,3.33E-06,3.77E-06,3.07E-06,0.042218241,4.20E-06,0.000375953,0.347502303,4.40E-06,5.37E-06,5.22E-06,1.51E-06,1.35E-06,4.58E-06,2.26E-06,2.20E-06,4.24E-05,0.048051555,0.611104466,0.293335412,0.317769054,0.418460642,0.287850482,0.234755851,0.01690514,0.036142757,4.67E-05,6.97E-06,3.88E-05,0.000131603,9.71E-05,3.67E-06,1.90E-06,9.88E-05,4.60E-05
Huesca,0.004530114,3.22E-05,1.18E-06,1.70E-05,4.29E-07,9.41E-05,0.000358877,7.29E-05,2.40E-05,9.64E-06,8.44E-06,1.50E-05,8.49E-06,9.65E-06,7.22E-06,0.044883471,1.16E-05,0.00311784,0.169519417,1.22E-05,1.49E-05,1.44E-05,3.23E-06,2.71E-06,1.25E-05,6.44E-06,6.23E-06,0.00013894,0.159023058,0.629511967,0.299868719,0.329643249,0.420681907,0.330296608,0.24251308,0.03050956,0.056970623,0.000303346,1.72E-05,9.66E-05,0.000172429,0.000510766,3.70E-06,8.94E-06,0.000255812,0.000101221
Jaén,0.004155844,1.60E-05,3.23E-07,1.53E-05,7.72E-08,3.27E-05,0.000206596,2.34E-05,6.03E-06,3.55E-06,4.44E-06,8.83E-06,4.46E-06,5.07E-06,4.25E-06,0.072040182,5.58E-06,0.001520057,0.153001084,5.82E-06,7.00E-06,6.83E-06,2.10E-06,2.10E-06,6.04E-06,3.00E-06,2.95E-06,4.46E-05,0.069924809,0.631013344,0.303561533,0.32745181,0.463305726,0.30578883,0.242081425,0.023073228,0.04055583,7.28E-05,6.65E-06,4.84E-05,0.000124349,0.000127729,2.94E-06,2.97E-06,0.00011652,0.000130056
Jerez de la Frontera,0.006392027,1.37E-05,2.30E-07,2.69E-05,4.66E-08,1.75E-05,0.000157882,1.21E-05,1.07E-06,2.08E-06,2.24E-06,4.23E-06,2.26E-06,2.56E-06,2.04E-06,0.081515879,2.92E-06,0.000694527,0.269487144,3.04E-06,3.70E-06,3.60E-06,1.02E-06,1.01E-06,3.16E-06,1.15E-06,1.56E-06,3.39E-05,0.029424659,0.623996604,0.304776099,0.319220505,0.458953228,0.269495204,0.226571921,0.012953994,0.02990487,6.73E-05,2.76E-06,4.07E-05,3.58E-05,6.77E-05,2.40E-06,1.58E-06,3.49E-05,0.000107
"Palmas de Gran Canaria, Las",0.002660467,4.06E-06,7.02E-08,3.47E-06,2.21E-08,8.09E-06,4.80E-05,6.06E-06,8.56E-07,1.16E-06,1.30E-06,2.48E-06,1.32E-06,1.49E-06,1.19E-06,0.063953717,1.69E-06,0.00129359,0.034704666,1.79E-06,2.07E-06,2.02E-06,6.20E-07,6.33E-07,1.81E-06,8.83E-07,8.55E-07,2.39E-05,0.021108101,0.64328833,0.310327394,0.332960935,0.464147051,0.308682147,0.244655871,0.014004008,0.049954771,6.75E-05,3.94E-06,1.14E-05,2.95E-05,2.02E-05,9.76E-07,1.64E-06,5.10E-05,5.00E-05
Leganés,0.00338062,3.53E-05,4.07E-07,6.07E-05,7.16E-08,2.25E-05,0.000242231,1.43E-05,1.91E-06,1.89E-06,2.22E-06,4.30E-06,2.21E-06,2.53E-06,2.07E-06,0.023599346,2.79E-06,0.000158204,0.607355725,2.91E-06,3.62E-06,3.48E-06,8.14E-07,8.34E-07,3.05E-06,1.56E-06,1.50E-06,2.37E-05,0.035767093,0.543197087,0.263117218,0.280079869,0.315690637,0.214662244,0.201656028,0.001850316,0.011124635,3.13E-05,1.83E-06,6.58E-05,5.58E-05,8.57E-05,1.67E-06,1.58E-06,5.02E-05,2.17E-05
León,0.004585355,2.00E-05,4.58E-07,2.50E-05,1.10E-07,3.31E-05,0.00031297,2.33E-05,4.15E-06,3.35E-06,3.75E-06,7.13E-06,3.75E-06,4.28E-06,3.43E-06,0.048803656,4.85E-06,0.000895352,0.249712687,5.22E-06,6.04E-06,5.82E-06,1.44E-06,1.41E-06,5.20E-06,2.53E-06,2.43E-06,5.60E-05,0.070379855,0.604757697,0.273986034,0.330771664,0.384100226,0.384109978,0.280319928,0.02871463,0.074826746,0.000248675,1.08E-05,1.64E-05,0.000119278,0.000140664,3.04E-06,5.91E-06,0.000129408,6.21E-05
Lleida,0.004684931,1.15E-05,5.15E-07,1.64E-05,1.14E-07,3.42E-05,0.00020768,2.32E-05,3.59E-06,3.24E-06,3.50E-06,6.62E-06,3.47E-06,4.00E-06,3.18E-06,0.04171539,4.57E-06,0.001311176,0.163829677,4.77E-06,5.77E-06,5.54E-06,1.35E-06,1.28E-06,4.91E-06,2.50E-06,2.40E-06,5.89E-05,0.060995804,0.643764106,0.318853584,0.324910523,0.431679544,0.304699329,0.255812818,0.014521064,0.034186628,0.000183405,2.73E-06,3.54E-05,8.13E-05,0.000160915,1.33E-06,2.84E-06,0.000105745,6.82E-05
Logroño,0.003653417,9.25E-06,6.79E-07,9.70E-06,1.88E-07,4.17E-05,0.000190687,2.81E-05,4.03E-06,3.27E-06,3.17E-06,5.75E-06,3.08E-06,3.62E-06,2.77E-06,0.023077403,4.28E-06,0.001614463,0.097031904,4.42E-06,5.37E-06,5.16E-06,1.01E-06,8.84E-07,4.55E-06,2.28E-06,2.18E-06,4.27E-05,0.059134237,0.65383831,0.310189968,0.343648343,0.400642925,0.333091567,0.2654373,0.01760606,0.049910994,0.0001415,4.88E-06,5.15E-05,6.61E-05,0.000149096,1.07E-06,7.56E-07,0.000135737,1.96E-05
Lugo,0.004018885,1.58E-05,4.16E-07,9.59E-06,1.40E-07,4.46E-05,0.000175093,3.35E-05,7.77E-06,4.18E-06,4.88E-06,9.50E-06,4.99E-06,5.58E-06,4.57E-06,0.060366001,6.23E-06,0.002618468,0.095912123,6.82E-06,8.35E-06,8.04E-06,1.98E-06,2.07E-06,6.83E-06,3.57E-06,3.88E-06,6.81E-05,0.081187897,0.61565197,0.284757549,0.330894421,0.44822693,0.372738183,0.251381275,0.043905955,0.077300976,0.000149978,1.33E-05,5.79E-05,9.90E-05,0.000130123,4.57E-06,4.39E-06,0.000209536,0.000106013
