,ciudades,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
22,Elche,0.12832122905027932,0.006649717427379373,0.8567880185784541,0.7215982337666935,0.8164296247467299,0.8569110545867952,0.7219985322671485,0.11285057885137728,0.9975429316845661,0.3884258925448236,0.0028683019856284983,0.35863610196376083,0.019741273099634145,0.1672123120238561,0.307782899900081,0.1180386637915139,0.006999750009175413,0.22651900075198372,0.7222994171856124
23,Fuenlabrada,0.27075314245810056,0.007075323520634428,0.8482120339624228,0.7082534863445052,0.8211148739591799,0.8483409220098415,0.7086734084353943,0.03560777437711835,0.9915208806132845,0.15466722187174525,0.00382562425739207,0.3337045133105293,0.05646929196392335,0.41243869500017477,0.9139239921568817,0.16889318268458436,0.01695921484071062,0.21901919303983797,0.06808332728292013
24,Getafe,0.1971808659217877,0.003855338666237466,0.9143583708124923,0.8192999681981905,0.8919267430821008,0.9144318827764796,0.8195594438369006,0.08858500387466439,0.9941879165847647,0.2111271249224326,0.003788762141460865,0.20047759676438143,0.12252306054106699,0.23170832898018584,0.7968832490269351,0.03933965196894998,0.027752605343869974,0.20900342279984496,0.22957235106147028
25,Gijon,0.12257856145251397,0.0034142904817950088,0.9111205392795597,0.8133847051630838,0.8482651577923126,0.9111958337878884,0.8136530662882244,0.0874891391982967,0.9932162577509338,0.18637101188747554,0.007507891676952203,0.05939188666791931,0.029006863883440405,0.21921391967301473,0.6997789836248902,0.06068096266742057,0.06011663859016007,0.29518623639383884,0.36928059098856536
26,Girona,0.39865083798882683,0.0015180458042426404,0.9566156845025432,0.9020352525904566,0.9272735867762517,0.956652101766736,0.9021765244138588,0.04671514563258789,0.9979003234395383,0.4266252174873986,0.00012332370728227121,0.3027975555423795,0.04676091340665156,0.4415531754269159,0.2315782880568418,0.12345674977296103,0.077432264579198,0.3841965347346241,0.46465042278200425
27,Granada,0.1878379888268156,0.0011246033809179153,0.9684702198310288,0.9273319166881103,0.9547757895524719,0.9684961788669235,0.9274364956105862,0.12279163698699835,0.9939623130394382,0.20480122862786135,0.004175372982297852,0.13953688507919626,0.10209061272014058,0.5374036693880511,0.18537861585274693,0.18051046006694849,0.14131462098898537,0.5561366431152773,0.26711777121302627
28,Guadalajara,0.34218331005586594,0.0013379027804764666,0.9642314845950152,0.918171351690712,0.9557173040382699,0.9642622141327377,0.9182887652795848,0.03192097250162423,0.9929906542056073,0.1814540840286261,0.0022512345247181916,0.21504447720651343,0.06988774713587285,0.2773716715321373,0.5923881138639223,0.34536313250774975,0.08984017590012564,0.30335123685843907,0.31608745978985064
29,Hospitalet,0.4315597067039106,0.0048029536220174935,0.8723466857214914,0.7465484288451897,0.7977253955477002,0.8724551138875651,0.7469132317823239,0.05516113124545021,0.9927762191526242,0.176963243477778,0.001640210251645798,0.13240694410652304,0.032030362355714964,0.3785052070377836,0.694260859746161,0.03707662922389095,0.1295439885078298,0.6366724856009072,0.03689237080214457
30,Huelva,0.37364769553072624,0.001215336696709035,0.9663462548863017,0.9227241316304086,0.9487485210869041,0.9663740289269249,0.9228350612233646,0.050871603797953864,0.9763227962330912,0.06060259851972846,0.007994458069544196,0.24434115536239404,0.12486301058636806,0.6208230233136035,0.3756840753383842,0.11560448183151412,0.06119134778450259,0.4100487693148358,0.14071035171159413
31,Huesca,0.7071145251396647,0.004613236501715129,0.8960137236770208,0.786498582827908,0.8739946345492482,0.8961019275046939,0.7868058956124241,0.0032014903759598617,0.9932073229570593,0.1861823722951482,0.0004995806824721683,0.21555224651759103,0.11294918703460026,0.23528186549411195,0.8190759511416049,0.023499510212319368,0.12094647861767346,0.3773362921945014,0.10671088389210993
