Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Getafe,0.254197756,0.037302857,0.164305178,0.003788762,0.162578305,0.251651284,0.030574753,0.212221099,0.190724748,0.104207326,0.809707597,0.715578203,0.753367025,0.809709717,0.71557594,0.0945763,0.994187917,0.211127125,0.003788762,0.252714484,0.360491737,0.416332061,0.423378792,0.560282473,0.392838739,0.999999789,0.469802245,0.015003562,0.431820741,0.045153995,0.047582604,0.043035897,0.039722507,0.033045327,0.037704054,0.025610503,0.02291027,0.024574669,0.519091497,0.11235677,0.342741603,0.796883249,0.039339652,0.031853605,0.213997156,0.229572351
Gijón,0.43149555,0.0387156,0.336795207,0.007507891,0.453511375,0.49824936,0.045299064,0.465816709,0.115522506,0.09239396,0.802570509,0.706353307,0.660478773,0.802570443,0.706351631,0.093406318,0.993216258,0.186371012,0.007507892,0.586039046,0.166830857,0.14659691,0.129908155,0.210172314,0.074630821,0.999999663,0.223302218,0.174464074,0.454791127,0.071389333,0.072024688,0.070835211,0.070044189,0.084755512,0.083607369,0.137925602,0.10025961,0.111531191,0.153781888,0.017757112,0.324259946,0.699778984,0.060680963,0.069000068,0.302239142,0.369280591
Girona,0.097056184,0.017620746,0.103453026,0.000123324,0.296010551,0.296761627,6.40E-05,0.366353634,0.393814903,0.041603517,0.902854545,0.844604481,0.828566001,0.902854696,0.844603502,0.049874645,0.997900323,0.426625217,0.000123324,0.323150731,0.166830857,0.31527286,0.326761295,0.363860326,0.248774311,0.999999753,0.403850695,0.573534115,0.557031866,0.020351434,0.021164744,0.019642109,0.023755874,0.018819572,0.019143847,0.03980744,0.035528379,0.06805293,0.78402594,0.035716857,0.653142872,0.231578288,0.12345675,0.088874422,0.393376169,0.464650423
Granada,0.269161102,0.050079587,0.105855394,0.004175373,0.113600396,0.172392645,0.024334921,0.1483533,0.181306738,0.031065259,0.92898526,0.884054813,0.887075822,0.928984744,0.884053365,0.13109644,0.993962313,0.204801229,0.004175373,0.373923416,0.21073201,0.224741381,0.599777345,0.610818534,0.268517837,0.999999617,0.195650463,0.380641043,0.388244567,0.059847991,0.058923137,0.060654597,0.072873661,0.080004998,0.064022923,0.277094092,0.169267161,0.103969754,0.361299276,0.091687596,0.794924361,0.185378616,0.18051046,0.162196667,0.569424455,0.267117771
Guadalajara,0.123082941,0.034242262,0.212917012,0.002251235,0.172881635,0.326656741,0.025224834,0.257171342,0.336893274,0.036778431,0.919641901,0.869768845,0.889078856,0.919643898,0.86976686,0.034079893,0.992990654,0.181454084,0.002251235,0.262546265,0.379047513,0.457899005,0.406939419,0.548831424,0.425567939,0.999999767,0.494006853,0.571300739,0.417858349,0.015535594,0.016142006,0.015006714,0.014488129,0.014017487,0.014778404,0.036113786,0.026771477,0.035916824,0.556809146,0.059111634,0.410286552,0.592388114,0.345363133,0.103115849,0.310599229,0.31608746
"Hospitalet de Llobregat, L'",0.084942482,0.029099656,0.062317092,0.00164021,0.141905704,0.175452523,0.016802541,0.205700298,0.426988419,0.129588958,0.717102082,0.602121647,0.552957478,0.71710183,0.602120422,0.05889186,0.992776219,0.176963243,0.00164021,0.420784438,0.440866183,0.51286172,0.506926431,0.675272656,0.527127104,0.999999844,0.617495101,0.655876822,0.21652967,0.070681433,0.073539709,0.068188603,0.04934967,0.061543781,0.067935529,0.021514223,0.047902692,0.066162571,0.342837902,0.02081564,0.559882686,0.69426086,0.037076629,0.14868669,0.651884546,0.036892371
Huelva,0.107640902,0.088537359,0.105368201,0.007994458,0.15751731,0.185116846,0.046941109,0.22131236,0.36861069,0.033495529,0.924303446,0.876868939,0.874253053,0.92430292,0.876867056,0.054312218,0.976322796,0.060602599,0.007994458,0.354461576,0.300948602,0.34592638,0.559602932,0.5267174,0.344459004,0.999999672,0.291959281,0.304358843,0.169688098,0.032620078,0.033681892,0.031694022,0.035059145,0.032218863,0.032155268,0.066153173,0.047256961,0.013232514,0.632666283,0.114723831,0.918317781,0.375684075,0.115604482,0.070233587,0.419846093,0.140710352
Huesca,0.027002256,0.029418227,0.199766147,0.00049958,0.457286515,0.432485821,0.008740419,0.511113197,0.704759196,0.124507432,0.769270859,0.664424203,0.715217191,0.76927072,0.664422953,0.003418018,0.993207323,0.186182372,0.000499581,0.445166553,0.378002248,0.362961608,0.266744596,0.230806131,0.276954108,0.999999724,0.363404721,0.471529799,0.430919941,0.005370942,0.005476334,0.005279026,0.003585107,0.006140956,0.005788973,0.042275711,0.023378095,0.041587902,0.5581239,0.102671976,0.348027558,0.819075951,0.02349951,0.138818727,0.386352015,0.106710884
Jaén,0.112170348,0.031052995,0.054471597,0.001927005,0.078783383,0.175800901,0.016462927,0.181173843,0.358738638,0.011103134,0.971170801,0.951275473,0.908572817,0.971171824,0.95127457,0.078848404,0.993341345,0.189266065,0.001927005,0.393525584,0.237474157,0.311761972,0.632570739,0.723434218,0.363378042,0.999999682,0.333250469,0.130122013,0.303119018,0.023197584,0.024050964,0.022453314,0.027142369,0.023550911,0.02297843,0.068673961,0.038954707,0.017013233,0.425962116,0.107870002,0.610027678,0.374843094,0.058495948,0.088321458,0.358291731,0.336609426
Jerez de la Frontera,0.458376094,0.05830646,0.124113392,0.009135678,0.113864161,0.192705637,0.037786916,0.171970407,0.108557726,0.056038005,0.886822882,0.821159679,0.835360113,0.886822998,0.821158298,0.203919438,0.99214855,0.165076919,0.009135678,0.392192461,0.294917512,0.356849694,0.525492161,0.619041908,0.356134333,0.999999289,0.356336412,0.443149168,0.027699583,0.05361999,0.056487259,0.051119317,0.06442053,0.048275402,0.049077765,0.073943107,0.058497951,0.035916824,0.313078093,0.181737952,0.257813345,0.381251162,0.107988022,0.090300494,0.132038321,0.546587303
"Palmas de Gran Canaria, Las",0.312635062,0.024082817,0.000416634,0.001172252,0.0670788,0.055310358,0.005816667,0.087333373,0.158164012,0.042788812,0.904748117,0.847411587,0.867070626,0.904747187,0.847410366,0.287999331,0.99865308,0.537023563,0.001172253,0.563419811,0.126870262,0.196332852,0.603169125,0.722169874,0.268135039,0.999999647,0.249387841,0.668447984,0.304695417,0.10458816,0.108432057,0.101235727,0.124065286,0.108371218,0.100793766,0.141776805,0.186267016,0.06805293,0.951702667,0.081508191,0.443391733,0.144910456,0.067581766,0.182913147,0.59765505,0.437448045
