Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Huelva,723.771461,6.668003,0.072836,8.179238,0.018571,5.920937,61.218199,4.433064,1.105321,0.672091,0.777305,1.50195,0.784593,0.888348,0.722285,9937,0.988699,88.488862,81792.38016,1.035522,1.264199,1.227771,0.355944,0.318338,1.090463,1.078018,0.532601,0.516791,9.983486,64.017992,799234.623,1104.263799,11310,143837,69043,74794,98494,67752,55255,3979,8507,1.639460011,9.137241276,30.97576606,22.86379262,0.863142065,0.446594343,23.24439887,10.82960476
Huesca,388.279842,2.759404,0.100931,1.452965,0.036755,8.069576,30.759632,6.25183,2.06037,0.82612,0.72376,1.286486,0.727665,0.827154,0.618669,3847,0.996258,267.232724,14529.65173,1.045864,1.280859,1.231216,0.277026,0.231976,1.084043,1.073433,0.552099,0.534035,11.90866,46.307333,424146.7461,1092.373852,13630,53956,25702,28254,36057,28310,20786,2615,4883,1.476991681,8.280800709,14.77907294,43.77816207,0.317369712,0.766063212,21.92581989,8.675719798
Jaén,742.615915,2.867485,0.057688,2.734006,0.013795,5.840019,36.917021,4.181158,1.077273,0.634194,0.793492,1.577414,0.796878,0.906848,0.758576,12873,0.996318,271.621896,27340.06078,1.039976,1.250475,1.220862,0.375607,0.37575,1.087279,1.079303,0.536592,0.526757,7.97694,75.435438,964115.2493,1298.269037,12495,112757,54244,58513,82789,54642,43258,4123,7247,1.188939386,8.65018791,22.22008346,22.82412436,0.524742753,0.530847461,20.82115597,23.2399187
Jerez de la Frontera,2182.981449,4.669319,0.078415,9.203425,0.015923,5.986853,53.919284,4.123398,0.366471,0.710242,0.76436,1.445449,0.770671,0.873554,0.695114,27839,0.995784,237.192296,92034.2474,1.039824,1.262895,1.22998,0.346752,0.345283,1.087721,1.078811,0.391348,0.532329,11.581823,102.536358,2336904.637,1070.510535,10049,213105,104086,109019,156740,92037,77378,4424,10213,0.942903803,13.89946354,12.21691798,23.12638675,0.818010371,0.540065787,11.9141192,36.54213256
"Palmas de Gran Canaria, Las",1576.635765,2.406659,0.0416,2.056654,0.013085,4.793442,28.428436,3.592223,0.50741,0.687819,0.770551,1.472074,0.782022,0.880629,0.707918,37900,0.998696,766.602228,20566.54295,1.059347,1.226561,1.197519,0.367684,0.375381,1.080615,1.072834,0.523458,0.506516,14.176409,130.947028,2516826.563,1596.327205,12509,381223,183905,197318,275061,182930,144987,8299,29604,2.334813533,6.776839401,17.48749089,11.97842239,0.5785812,0.971454562,30.24429742,29.6281006
Leganés,1189.409657,12.402124,0.143251,21.368705,0.025194,7.908193,85.224575,5.015887,0.672603,0.665155,0.779888,1.513618,0.776091,0.8913,0.727896,8303,0.982034,55.661289,213687.0481,1.02423,1.272742,1.225505,0.286329,0.293514,1.084037,1.071646,0.548894,0.527147,8.331189,57.201862,903347.5826,759.492389,12584,191114,92573,98541,111070,75525,70949,651,3914,0.644739285,23.15812653,19.62997727,30.14009363,0.586674277,0.556979416,17.66001629,7.623393303
León,940.397089,4.102869,0.093955,5.121285,0.0226,6.788706,64.186164,4.76932,0.850704,0.687343,0.768489,1.46313,0.770071,0.878274,0.703617,10009,0.994554,183.625222,51212.84974,1.070044,1.239692,1.19268,0.296222,0.289311,1.075591,1.066118,0.518728,0.497454,11.487682,65.560972,934193.8255,993.40357,14434,124028,56191,67837,78774,78776,57490,5889,15346,2.221450988,3.365608961,24.46232624,28.84845073,0.622502926,1.212641379,26.53995649,12.72706229
Lleida,1021.769176,2.504677,0.112307,3.573076,0.024872,7.461297,45.294329,5.065696,0.782956,0.706056,0.764,1.443922,0.756322,0.873142,0.69438,9098,0.996503,285.963493,35730.7559,1.040533,1.257449,1.207681,0.29428,0.280211,1.080504,1.070304,0.545342,0.524194,12.846056,62.381167,932638.8447,912.768624,13303,140403,69541,70862,94148,66454,55792,3167,7456,0.59529133,7.719892586,17.73560412,35.09503345,0.290183155,0.618889635,23.06261972,14.88248601
Logroño,852.032302,2.157928,0.158311,2.262931,0.043755,9.731187,44.4711,6.557399,0.938932,0.761619,0.738439,1.341086,0.717721,0.84393,0.644926,5382,0.997344,376.517135,22629.31015,1.030207,1.251819,1.203456,0.234857,0.206249,1.072616,1.060387,0.531431,0.508794,9.947848,52.172066,706098.2178,828.722357,13791,152485,72341,80144,93436,77682,61904,4106,11640,1.138860474,12.01304102,15.42243682,34.77140623,0.248709409,0.176393749,31.65587283,4.57327947
Lugo,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,1.243941,0.668627,0.781168,1.519453,0.797964,0.892764,0.730703,9660,0.997613,419.017367,15348.22747,1.091946,1.336751,1.286445,0.31638,0.331624,1.101408,1.092393,0.571794,0.621237,10.901138,77.274943,915007.7323,1422.769391,12992,98519,45568,52951,71727,59647,40227,7026,12370,2.131199021,9.270127611,15.8464165,20.82275622,0.731994035,0.702100673,33.53081465,16.96459129
