Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Albacete,0.361848312,0.043770616,0.343442476,0.003312814,0.452379586,0.644729443,0.043912614,0.612686122,0.171892947,0.313544714,0.939763445,0.864693382,0.898868739,0.93976435,0.864691995,0.111975824,0.998846191,0.378329373,0.003312815,0.93477471,0.876024398,0.879393519,0.529594202,0.531636529,0.946039484,1.42E-06,0.727307495,0.549032578,0.670573753,0.052278895,0.054838828,0.050045176,0.062131746,0.054358827,0.047692936,0.090152638,0.098503602,0.041275797,0.182378338,0.095285621,0.3609683,0.548393349,0.11450655,0.11585042,0.364326413,0.520051433
Alcalá de Henares,0.364104835,0.036621812,0.402392812,0.005074409,0.284947471,0.584004706,0.067692621,0.522971407,0.170827823,0.333506947,0.928641395,0.842667739,0.929891937,0.928641828,0.842667072,0.096167281,0.997877512,0.24853159,0.005074409,0.924306097,0.914039212,0.931749217,0.68508491,0.720239843,0.97299079,1.56E-06,0.841527273,0.640642863,0.708788268,0.059243777,0.061819333,0.056996425,0.06161801,0.051549145,0.054420532,0.021892717,0.037870425,0.056285178,0.638294253,0.156274082,0.57908192,0.799754913,0.134881633,0.396966824,0.303672185,0.143282184
Alcobendas,0.312558693,0.04307565,0.853505908,0.004278302,1,1,0.055883027,1,0.170827823,0.333506947,0.928641395,0.842667739,0.929891937,0.928641828,0.842667072,0.03892021,0.997927547,0.253046757,0.004278302,0.926891919,0.881354555,0.871806994,0.432229995,0.360629269,0.939493632,-1.03E-05,0.718086677,0.854249001,1,0.035510221,0.036394901,0.034738277,0.122737686,0.026894723,0.029610058,0.009873528,0.009882365,0.016885553,0.319517972,0.147244998,0.484106502,0.243134379,0.069885459,1,0.306888587,0.619428438
Alcorcón,0.177407343,0.04923961,0.475418683,0.003365189,0.404802227,0.741921178,0.053437936,0.652121455,0.350601236,0.309804368,0.94297709,0.871207274,0.905383888,0.942978152,0.871207057,0.039659458,0.996856797,0.182600868,0.003365188,0.927784515,0.882029303,0.899256862,0.552545194,0.549263253,0.953823595,1.46E-06,0.779430348,0.457347937,0.723720831,0.05169354,0.05338764,0.050215321,0.049378772,0.046269319,0.050029874,0.022730048,0.022782346,0.00750469,0.785720996,0.095274376,1,0.478318184,0.060566963,0.072131177,0.517252732,0.127935619
Algeciras,0.239682168,0.03055367,0.186671149,0.002927049,0.191471956,0.420108384,0.046357743,0.395603969,0.259506953,0.524039261,0.777919943,0.602939088,0.75502679,0.777920928,0.602939128,0.136460381,0.998226757,0.283626195,0.002927049,0.945711259,0.89024074,0.892950443,0.851323164,0.847649113,0.962739957,1.46E-06,0.757998962,0.601339077,0.570809249,0.036907936,0.039081691,0.035011183,0.044809304,0.035317893,0.032329419,0.081988661,0.043670518,0.020637899,0.473414337,0.028452317,0.403072571,0.277655689,0.14161127,0.074321674,0.232941903,0.871744911
Alicante/Alacant,0.596039642,0.024846391,0.393277479,0.003093043,0.385814341,0.663823009,0.043170977,0.551260439,0.104354176,0.328645191,0.924196807,0.83408295,0.894031497,0.924197393,0.83408258,0.161074916,0.999649754,0.667467011,0.003093043,0.924024794,0.876690668,0.885919783,0.56456323,0.574754746,0.950129305,1.45E-06,0.753774632,0.55891286,0.624919717,0.101202196,0.105145186,0.097761663,0.117122363,0.121814703,0.100442171,0.500776276,0.164414341,0.07879925,0.474663179,0.042320536,0.350157855,0.337409463,0.388733919,0.088102027,0.551706702,0.586293894
Almería,0.275230723,0.039558189,0.138882745,0.003538496,0.166039956,0.383191812,0.047705698,0.387129008,0.225989361,0.309226764,0.944834084,0.875001767,0.919413456,0.944833903,0.875000799,0.210620806,0.998095665,0.26941313,0.003538497,0.926590781,0.895888135,0.90621473,0.877506215,0.90587908,0.96652155,1.50E-06,0.789132493,0.600758182,0.601209591,0.060371304,0.063408883,0.057720806,0.070662546,0.065094777,0.052386502,0.214147405,0.119006408,0.033771107,0.490912238,0.089192763,0.647954993,0.178230377,0.182695715,0.17354255,0.549432859,0.524227615
Ávila,0.275230723,0.039558189,0.138882745,0.003538496,0.166039956,0.383191812,0.047705698,0.387129008,0.378302728,0.287754007,0.971444361,0.932136159,0.94077784,0.97144388,0.932135731,0.057588263,0.991853289,0.079337711,0.007178051,0.933067057,0.886915751,0.891442403,0.677668451,0.661878431,0.954930902,1.46E-06,0.755446914,0.576545511,0.706968529,0.017503366,0.017880184,0.017174566,0.020715882,0.022518593,0.017243064,0.061160052,0.053487567,0.041275797,0.193936531,0.099498323,0.724026194,0.319861546,0.290872802,0.051762451,0.424194668,0.45885263
Badajoz,0.554304902,0.037301717,0.346913438,0.004319119,0.250832424,0.578712601,0.048552576,0.460040581,0.112211187,0.725947306,0.673496389,0.478824168,0.664382447,0.673496859,0.478823173,0.169815919,0.999122385,0.444522884,0.00431912,0.909299673,0.892735542,0.896884878,0.710863428,0.74117678,0.957142844,1.49E-06,0.778732352,0.506267593,0.630218369,0.045276229,0.047088003,0.043695331,0.057847963,0.047056788,0.042632093,0.090030528,0.069163493,0.037523452,0.523078843,0.025692824,0.350307316,0.165885838,0.04075904,0.085623182,0.230170306,1
Badalona,0.153543775,0.060949364,0.135382292,0.002237845,0.205852804,0.421316016,0.034342848,0.448439347,0.405091208,0.289239399,0.970161143,0.929256942,0.937291844,0.970162062,0.929255913,0.120538108,0.997747421,0.237652753,0.002237845,0.943864758,0.944585871,0.957795452,0.817793182,0.90417249,0.984323095,1.69E-06,0.92495234,0.803566987,0.671001927,0.06692176,0.070801255,0.06353663,0.062761743,0.060655962,0.061939477,0.038360227,0.058007459,0.039399625,0.510747213,0.118111137,0.486945248,0.455468077,0.042060216,0.097507382,0.670814369,0.284502119
