,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI,index_tool,ID,index,NP,DIVISION,SPLIT,MESH,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
40,9,0.035194,2.691914,0.42008,0.544866,0.429715,0.47259,0.247979,0,Madrid.txt,40,Madrid.txt,131191,0.996704,303.430574,842787.1312,Madrid_class.shp,0.752718024,7.27373778,19.72386865,8.093280003,0.901954256,3.040198015,47.02423337,13.1900099
41,9,0.581606,45.947647,0.041614,0.042504,0.062084,0.046815,0.019344,0,Malaga.txt,41,Malaga.txt,11128,0.995012,200.494332,77181.26187,Malaga_class.shp,5.903971431,0.161302769,23.25112424,8.681203416,1.103350776,5.465747245,19.19223108,36.24106905
42,8,0.252467,0.998898,0.665668,1.09562,0.640649,0.760763,0.526882,0,Marbella.txt,42,Marbella.txt,17778,0.99829,584.782661,54186.41859,Marbella_class.shp,0.62215373,0.984625537,19.57024139,5.143135168,2.663106728,0.194925208,20.96231564,49.8594966
43,8,1.345751,0.637263,0.793009,1.575078,0.813828,0.906296,0.757452,0,Mataro.txt,43,Mataro.txt,11556,0.995858,241.415842,24624.05073,Mataro_clas.shp,1.037829449,4.016876473,17.27686117,19.15065419,6.103669416,0.467122565,26.58451317,25.36247357
44,8,1.994987,0.639054,0.79249,1.572577,0.793978,0.905703,0.75625,0,Melilla.txt,44,Melilla.txt,9591,0.991479,117.35592,34169.99307,Melilla_class.shp,1.016856341,28.23870996,14.3167599,14.04272964,0.54393563,0.223297634,18.79531409,22.8223968
45,8,0.906644,0.642828,0.789963,1.560473,0.793922,0.902815,0.750429,0,Mostoles.txt,45,Mostoles.txt,8032,0.994785,191.749053,46017.16061,Mostoles_class.shp,0.668677476,9.202293212,24.09781895,26.79997114,0.492700331,1.065648059,20.46323557,17.20965526
46,9,0.139961,1.035827,0.665709,1.095744,0.643466,0.748923,0.498694,0,Murcia.txt,46,Murcia.txt,63516,0.998003,500.835154,128393.1079,Murcia_class.shp,1.10896294,4.97853551,11.10487113,19.01672778,0.46656886,0.72164272,20.87143272,41.73125833
47,8,0.745707,1.208704,0.622217,0.973436,0.603775,0.711105,0.468124,0,Ourense.txt,47,Ourense.txt,16916,0.998782,821.333532,13061.77565,Ourense_class.shp,0.260536632,2.458586705,9.937318601,13.04664616,0.178122256,0.311044864,17.17025435,56.63749043
48,8,0.815073,0.764665,0.737757,1.338482,0.705927,0.84315,0.643674,0,Oviedo.txt,48,Oviedo.txt,8462,0.996951,327.930774,29930.32486,Oviedo_class.shp,0.507020142,1.795108367,22.89803533,20.76770152,0.418780422,0.514738154,37.80021051,15.29840555
49,8,1.280707,0.737545,0.750623,1.388791,0.731803,0.857855,0.667867,0,Palencia.txt,49,Palencia.txt,6037,0.994065,168.496219,37072.35186,Palencia_class.shp,1.093943754,4.112275441,20.23707835,37.20466967,0.20911061,0.214805186,18.47343359,18.4546834
50,8,0.271483,0.683856,0.773189,1.483637,0.791149,0.883644,0.713479,0,Palma.txt,50,Palma.txt,35101,0.998327,597.711104,49300.97558,Palma_class.shp,0.927676765,6.242174717,16.01056755,13.67968868,3.027674339,0.815612142,26.73804607,32.55855973
51,8,1.263398,0.675798,0.776232,1.497147,0.791741,0.887123,0.719976,0,Parla.txt,51,Parla.txt,6540,0.95625,22.857169,277030.3385,Parla_clas.shp,2.334117454,5.324166237,19.0690841,32.24693509,0.377942902,1.990844833,24.28335942,14.37354996
52,8,1.322848,0.770596,0.735808,1.331078,0.710126,0.840923,0.640113,0,Pontevedra.txt,52,Pontevedra.txt,7077,0.994338,176.62441,34239.64548,Pontevedra_class.shp,0.681221751,1.489442517,14.01950383,23.7660659,1.078373903,0.428354474,20.23446423,38.3025734
53,8,0.733899,0.673577,0.773694,1.485865,0.764465,0.884221,0.71455,0,Sabadell.txt,53,Sabadell.txt,25177,0.998559,694.074811,15705.34551,Sabadell.shp,1.392173289,2.515662469,19.89253037,23.5695134,1.087194583,0.598761951,26.95004489,23.99411905
54,8,0.903815,0.714124,0.756183,1.411336,0.745841,0.864209,0.678709,0,Salamanca.txt,54,Salamanca.txt,9409,0.995427,218.654554,40481.07659,Salamanca_class.shp,0.761127537,7.018541555,29.25256781,26.09774571,1.115083177,0.421178931,28.29401661,7.03973867
55,8,0.657579,0.672155,0.777239,1.501657,0.778447,0.888274,0.722145,0,Santander.txt,55,Santander.txt,9887,0.996752,307.904062,39511.80574,Santander_class.shp,0.771991578,6.903087829,19.01689502,17.76517482,0.843979824,0.698586902,31.63147502,22.368809
56,8,2.899194,0.850595,0.708782,1.233682,0.689198,0.810036,0.593276,0,Santa_coloma.txt,56,Santa_Coloma.txt,6653,0.989299,93.451637,29527.44262,Santa_Coloma.shp,2.440079648,2.179385759,25.5793274,8.273807802,0.314589044,0.278266951,43.15656515,17.77797824
57,8,0.7863,0.727781,0.750957,1.390129,0.728807,0.858236,0.668511,0,Santa_Cruz.txt,57,Santa_Cruz_Tenerife.txt,21167,0.999013,1012.747587,10046.16814,Santa_Cruz_Tenerife_class.shp,0.739465334,2.971492933,14.5187984,19.0880732,0.413263605,0.604738863,32.26989874,29.39426893
58,8,0.556311,0.932454,0.69106,1.174608,0.681847,0.789783,0.564867,0,San_Cristobal.txt,58,San_Cristobal.txt,27223,0.999291,1411.271008,10189.7151,San_Cristobal_de_la_Laguna_class.shp,0.925674134,3.908889416,11.64032344,15.55077719,0.533987354,0.243181842,18.80216244,48.39500419
59,8,1.451914,0.616999,0.802926,1.624175,0.815801,0.91763,0.781063,0,Segovia.txt,59,Segovia.txt,5383,0.994846,194.011864,28400.15682,Segovia_class.shp,0.628881795,16.82703858,15.53102878,23.03909757,2.210847803,0.167142189,25.54959821,16.04636507
60,9,0.164306,8.377118,0.191251,0.212267,0.228457,0.215157,0.096607,0,Sevilla.txt,60,Sevilla.txt,59749,0.988266,85.220226,642757.8832,Sevilla_class.shp,1.769013991,10.55402092,17.05447754,10.6513424,1.583866688,1.917296172,33.93267992,22.53730237
61,8,2.105618,0.749789,0.745836,1.369775,0.737823,0.852384,0.658723,0,Soria.txt,61,Soria.txt,3438,0.993995,166.535215,22814.152,Soria_class.shp,1.02237651,3.16006562,16.31025216,37.93921379,0.674618665,0.947700241,23.57955247,16.36622055
62,8,0.609249,0.629911,0.797619,1.597604,0.823623,0.911565,0.768285,0,Terragona.txt,62,Terragona.txt,9514,0.994988,199.540585,65805.71883,Tarragona_class.shp,0.694231218,12.17989777,15.55301158,23.39023286,1.162169448,2.463067373,15.72582008,28.83156967
63,8,0.638085,0.713778,0.757116,1.41517,0.749488,0.865275,0.680553,0,Terrasa.txt,63,Terrasa.txt,25503,0.998958,959.690368,13064.12008,Terrasa_clas.shp,2.146106915,4.494514233,9.861473011,27.15666178,0.459974344,0.44176089,23.71182654,31.72768228
64,8,1.538482,0.79297,0.728547,1.303966,0.708345,0.832625,0.627075,0,Teruel.txt,64,Teruel.txt,5943,0.995241,210.117254,24747.75254,Teruel_class.shp,0.612204498,3.333225824,14.05755242,39.63495541,1.050809995,0.119447027,14.07670123,27.11510359
65,8,0.470683,0.735045,0.756789,1.413825,0.765116,0.864902,0.679906,0,Toledo.txt,65,Toledo.txt,7809,0.979523,48.834958,348041.156,Toledo_class.shp,0.314278985,16.67185861,17.11969161,15.40663401,1.700557438,0.645446531,8.880285029,39.26124778
66,8,0.399254,2.307808,0.45807,0.612619,0.471648,0.523509,0.294608,0,Torrejon.txt,66,Torrejon.txt,5909,0.551611,2.230206,8984539.673,Torrejon_clas.shp,0.300058007,72.04759211,4.894815203,11.73851288,0.234591027,0.22512086,7.597285006,2.962024905
67,8,0.369649,0.871006,0.710258,1.238763,0.723575,0.811723,0.595719,0,Valencia.txt,67,Valencia.txt,33239,0.997918,480.279041,45061.62681,Valencia_class.shp,2.379025634,4.969881312,20.81178784,15.18235964,0.892344167,0.835997541,46.08362235,8.844981523
68,8,0.289363,0.708775,0.762939,1.439438,0.757313,0.87193,0.692223,0,Valladolid.txt,68,Valladolid.txt,16196,0.996386,276.687811,99921.02196,Valladolid_class.shp,0.554565569,6.484726891,20.23269672,35.57945567,0.798932155,0.459606087,19.95669411,15.93332281
69,8,0.299214,0.92435,0.691404,1.175722,0.67477,0.790176,0.565403,0,Vigo.txt,69,Vigo.txt,34770,0.997138,349.362521,76530.04423,Vigo_class.shp,0.428888023,3.261984294,15.13932598,20.63672613,0.557649427,0.404116363,11.82431516,47.74699461
70,8,1.449856,0.673657,0.774217,1.488181,0.758289,0.88482,0.715664,0,Zamora.txt,70,Zamora.txt,7338,0.987969,83.120135,66383.29042,Zamora_class.shp,1.117132834,4.423835616,24.28850055,27.91758554,0.424894784,0.199479246,21.52089153,20.10767991
71,8,0.190993,0.765839,0.742138,1.35533,0.731288,0.848158,0.651776,0,Zaragoza.txt,71,Zaragoza.txt,28251,0.998467,652.408945,64202.72871,Zaragoza_class.shp,0.759847791,7.166900881,14.00403742,39.66411238,0.305394384,0.273807024,23.48225866,14.34364147
